Job_ID,Job_Title,Job_Family,Job_Subfamily,Career_Track,Band,Band_Number,Grade,FLSA_Classification,EEO_Category,Pay_Range_Min_USD,Pay_Range_Mid_USD,Pay_Range_Max_USD,Bonus_Target_Pct,Equity_Eligible,Remote_Eligible,Span_Of_Control_Min,Span_Of_Control_Max,Typical_Years_In_Role,Succession_Critical,External_Benchmark_Source,Market_Positioning,Headcount_Current,Headcount_Target,Open_Requisitions,Last_Reviewed_Date,Job_Architecture_Version
JOB-2218,Director of Engineering,Engineering,Engineering - Core,Executive,Band 8 - VP,8,G8A,Exempt,Managers,351229,436307,521385,10,Yes,Yes,6,10,2,Yes,Culpepper,65th Percentile,176,40,4,2025-04-30,JA-2026.1
JOB-2219,Engineering Manager,Engineering,Engineering - Operations,Management,Band 6 - Principal,6,G6A,Exempt,Technicians,204810,235014,265218,20,Yes,Yes,6,13,2,No,Mercer,50th Percentile,138,246,19,2025-05-12,JA-2026.1
JOB-2220,Director Operations,Operations,Operations - Specialist,Management,Band 5 - Lead,5,G5B,Exempt,Managers,155545,171589,187634,15,Yes,Yes,5,12,4,Yes,Mercer,75th Percentile,335,415,15,2025-12-26,JA-2026.1
JOB-2221,Voice of Customer Analyst,Customer Experience,Customer Experience - Core,Executive,Band 9 - SVP/C-Suite,9,G9C,Exempt,Administrative Support,478904,788313,1097723,30,Yes,Hybrid,3,12,4,Yes,Mercer,75th Percentile,331,339,20,2025-11-04,JA-2026.1
JOB-2222,Data Scientist,Data Science,Data Science - Operations,Individual Contributor,Band 3 - Mid,3,G3A,Exempt,Managers,84824,104159,123495,30,No,Yes,0,0,4,No,Mercer,65th Percentile,110,393,14,2025-06-01,JA-2026.1
JOB-2223,Sales Manager,Sales,Sales - Operations,Management,Band 4 - Senior,4,G4A,Exempt,Technicians,105951,132664,159377,30,No,Hybrid,5,10,6,No,Willis Towers Watson,75th Percentile,374,301,20,2025-09-11,JA-2026.1
JOB-2224,Compliance Analyst,Legal & Compliance,Legal & Compliance - Operations,Individual Contributor,Band 3 - Mid,3,G3B,Exempt,Officials & Managers,72402,97445,122489,10,Yes,Hybrid,0,0,1,No,Willis Towers Watson,50th Percentile,198,424,12,2025-07-13,JA-2026.1
JOB-2225,CMO,Marketing,Marketing - Core,Executive,Band 8 - VP,8,G8B,Exempt,Officials & Managers,345054,431566,518079,5,Yes,Yes,3,11,1,Yes,Mercer,65th Percentile,362,22,24,2025-05-13,JA-2026.1
JOB-2226,Senior Operations Manager,Operations,Operations - Specialist,Management,Band 4 - Senior,4,G4C,Exempt,Administrative Support,116657,142050,167444,30,No,No,5,9,2,No,Mercer,50th Percentile,170,8,5,2025-01-03,JA-2026.1
JOB-2227,Regional Sales Director,Sales,Sales - Operations,Executive,Band 9 - SVP/C-Suite,9,G9B,Exempt,Administrative Support,535289,857320,1179351,20,Yes,Yes,5,11,1,Yes,Mercer,65th Percentile,205,201,4,2025-11-03,JA-2026.1
JOB-2228,Associate Product Manager,Product,Product - Core,Management,Band 2 - Junior,2,G2C,Non-Exempt,Managers,62246,77146,92047,40,Yes,No,6,19,3,No,Aon Hewitt,50th Percentile,33,162,13,2025-01-16,JA-2026.1
JOB-2229,COO,Operations,Operations - Core,Individual Contributor,Band 7 - Director,7,G7B,Exempt,Technicians,243259,299700,356141,40,Yes,Yes,0,0,4,Yes,Willis Towers Watson,50th Percentile,88,276,11,2025-03-06,JA-2026.1
JOB-2230,Distinguished Engineer,Engineering,Engineering - Operations,Technical Specialist,Band 5 - Lead,5,G5C,Exempt,Technicians,152154,172561,192968,0,Yes,Yes,0,0,1,Yes,Aon Hewitt,75th Percentile,77,18,21,2025-08-06,JA-2026.1
JOB-2231,Financial Analyst,Finance,Finance - Specialist,Individual Contributor,Band 1 - Entry,1,G1B,Exempt,Technicians,43309,53190,63071,40,Yes,Hybrid,0,0,5,Yes,Mercer,75th Percentile,207,57,25,2025-02-21,JA-2026.1
JOB-2232,VP Engineering,Engineering,Engineering - Specialist,Executive,Band 9 - SVP/C-Suite,9,G9A,Exempt,Managers,539426,929603,1319781,10,Yes,Yes,5,8,5,Yes,Radford,65th Percentile,20,430,8,2025-06-22,JA-2026.1
JOB-2233,Director Finance,Finance,Finance - Specialist,Management,Band 5 - Lead,5,G5A,Exempt,Managers,133903,168574,203245,5,Yes,Yes,5,14,2,No,Culpepper,65th Percentile,320,134,14,2025-01-14,JA-2026.1
JOB-2234,General Counsel,Legal & Compliance,Legal & Compliance - Specialist,Executive,Band 9 - SVP/C-Suite,9,G9B,Exempt,Professionals,504253,896897,1289541,5,Yes,Yes,5,20,4,Yes,Mercer,50th Percentile,154,109,12,2025-02-09,JA-2026.1
JOB-2235,Voice of Customer Analyst,Customer Experience,Customer Experience - Core,Executive,Band 9 - SVP/C-Suite,9,G9C,Exempt,Administrative Support,454955,809053,1163151,30,Yes,Hybrid,3,12,4,Yes,Mercer,75th Percentile,380,487,21,2025-11-04,JA-2026.1
JOB-2236,HR Coordinator,People & HR,People & HR - Specialist,Individual Contributor,Band 1 - Entry,1,G1C,Exempt,Technicians,44828,55023,65219,20,Yes,No,0,0,1,No,Mercer,50th Percentile,57,128,1,2025-05-20,JA-2026.1
JOB-2237,Director Sales,Sales,Sales - Specialist,Management,Band 6 - Principal,6,G6B,Exempt,Administrative Support,195409,233983,272557,25,Yes,Hybrid,5,19,3,No,Mercer,75th Percentile,352,492,8,2025-06-08,JA-2026.1
JOB-2238,Senior Engineering Manager,Engineering,Engineering - Operations,Management,Band 7 - Director,7,G7B,Exempt,Technicians,240750,312518,384287,25,Yes,No,3,10,6,Yes,Culpepper,75th Percentile,50,452,10,2025-02-19,JA-2026.1
JOB-2239,HR Business Partner,People & HR,People & HR - Operations,Individual Contributor,Band 2 - Junior,2,G2B,Non-Exempt,Professionals,57549,68488,79428,15,Yes,Hybrid,0,0,6,Yes,Radford,75th Percentile,364,436,6,2025-10-07,JA-2026.1
JOB-2240,Compliance Manager,Legal & Compliance,Legal & Compliance - Core,Management,Band 4 - Senior,4,G4C,Exempt,Administrative Support,108912,133133,157354,20,Yes,Yes,6,20,5,Yes,Culpepper,65th Percentile,303,50,8,2025-01-13,JA-2026.1
JOB-2241,Compliance Manager,Legal & Compliance,Legal & Compliance - Core,Management,Band 4 - Senior,4,G4C,Exempt,Administrative Support,110042,125572,141103,20,Yes,Yes,6,20,5,Yes,Culpepper,65th Percentile,16,100,25,2025-01-13,JA-2026.1
JOB-2242,VP Product,Product,Product - Operations,Executive,Band 8 - VP,8,G8A,Exempt,Technicians,372967,436441,499916,30,Yes,No,5,12,6,Yes,Mercer,75th Percentile,76,43,11,2025-10-19,JA-2026.1
JOB-2243,Senior Financial Analyst,Finance,Finance - Operations,Individual Contributor,Band 2 - Junior,2,G2A,Non-Exempt,Technicians,60425,71372,82320,10,No,Yes,0,0,2,No,Mercer,75th Percentile,48,216,0,2025-10-06,JA-2026.1
JOB-2244,Growth Analyst,Marketing,Marketing - Specialist,Executive,Band 9 - SVP/C-Suite,9,G9C,Exempt,Managers,479945,878775,1277605,40,Yes,Hybrid,4,13,2,Yes,Radford,75th Percentile,13,246,2,2025-12-11,JA-2026.1
JOB-2245,Process Improvement Specialist,Operations,Operations - Operations,Executive,Band 9 - SVP/C-Suite,9,G9B,Exempt,Managers,498620,817768,1136917,0,Yes,Yes,5,8,6,Yes,Radford,75th Percentile,54,419,25,2025-07-10,JA-2026.1
JOB-2246,Chief Customer Officer,Customer Experience,Customer Experience - Core,Individual Contributor,Band 7 - Director,7,G7A,Exempt,Technicians,234397,308941,383485,10,Yes,No,0,0,1,Yes,Culpepper,65th Percentile,114,431,11,2025-09-22,JA-2026.1
JOB-2247,Senior Software Engineer,Engineering,Engineering - Operations,Individual Contributor,Band 2 - Junior,2,G2B,Exempt,Technicians,65872,79359,92847,30,Yes,Hybrid,0,0,4,Yes,Mercer,65th Percentile,152,267,7,2025-10-18,JA-2026.1
JOB-2248,CX Analyst,Customer Experience,Customer Experience - Specialist,Individual Contributor,Band 2 - Junior,2,G2B,Non-Exempt,Technicians,59656,73705,87755,40,Yes,Hybrid,0,0,5,Yes,Mercer,65th Percentile,248,496,19,2025-04-16,JA-2026.1
JOB-2249,Principal Engineer,Engineering,Engineering - Operations,Technical Specialist,Band 4 - Senior,4,G4A,Exempt,Officials & Managers,101651,133269,164887,15,No,Yes,0,0,3,Yes,Mercer,75th Percentile,332,418,20,2025-04-01,JA-2026.1
JOB-2250,Account Executive,Sales,Sales - Core,Individual Contributor,Band 2 - Junior,2,G2B,Non-Exempt,Professionals,63081,72725,82370,0,Yes,Yes,0,0,2,Yes,Culpepper,50th Percentile,105,457,24,2025-01-04,JA-2026.1
JOB-2251,VP Operations,Operations,Operations - Operations,Management,Band 6 - Principal,6,G6A,Exempt,Administrative Support,175278,223054,270830,20,Yes,Yes,4,14,5,Yes,Willis Towers Watson,65th Percentile,366,381,6,2025-06-26,JA-2026.1
JOB-2252,CMO,Marketing,Marketing - Core,Executive,Band 8 - VP,8,G8B,Exempt,Officials & Managers,366060,451133,536206,5,Yes,Yes,3,11,1,Yes,Mercer,65th Percentile,47,172,5,2025-05-13,JA-2026.1
JOB-2253,Chief Product Officer,Product,Product - Specialist,Executive,Band 9 - SVP/C-Suite,9,G9C,Exempt,Technicians,515498,869030,1222562,40,Yes,No,6,10,4,Yes,Culpepper,65th Percentile,188,386,9,2025-08-17,JA-2026.1
JOB-2254,Software Engineer,Engineering,Engineering - Specialist,Individual Contributor,Band 1 - Entry,1,G1A,Non-Exempt,Administrative Support,46364,56283,66203,10,Yes,Yes,0,0,2,Yes,Willis Towers Watson,75th Percentile,81,114,1,2025-12-25,JA-2026.1
JOB-2255,Chief Customer Officer,Customer Experience,Customer Experience - Core,Individual Contributor,Band 7 - Director,7,G7A,Exempt,Technicians,271637,329699,387761,10,Yes,No,0,0,1,Yes,Culpepper,65th Percentile,177,121,17,2025-09-22,JA-2026.1
JOB-2256,Data Scientist,Data Science,Data Science - Operations,Individual Contributor,Band 3 - Mid,3,G3A,Exempt,Managers,85817,100132,114448,30,No,Yes,0,0,4,No,Mercer,65th Percentile,331,100,12,2025-06-01,JA-2026.1
JOB-2257,Principal PM,Product,Product - Core,Technical Specialist,Band 5 - Lead,5,G5C,Exempt,Officials & Managers,155068,175873,196678,10,Yes,No,0,0,2,Yes,Aon Hewitt,65th Percentile,171,147,15,2025-06-11,JA-2026.1
JOB-2258,COO,Operations,Operations - Core,Individual Contributor,Band 7 - Director,7,G7B,Exempt,Technicians,267554,327328,387102,40,Yes,Yes,0,0,4,Yes,Willis Towers Watson,50th Percentile,280,174,21,2025-03-06,JA-2026.1
JOB-2259,Chief People Officer,People & HR,People & HR - Core,Executive,Band 9 - SVP/C-Suite,9,G9C,Exempt,Managers,523851,807728,1091606,10,Yes,Yes,6,8,5,Yes,Radford,50th Percentile,130,411,19,2025-06-03,JA-2026.1
JOB-2260,Director Finance,Finance,Finance - Specialist,Management,Band 5 - Lead,5,G5A,Exempt,Managers,130750,157902,185054,5,Yes,Yes,5,14,2,No,Culpepper,65th Percentile,206,433,14,2025-01-14,JA-2026.1
JOB-2261,Talent Acquisition Specialist,People & HR,People & HR - Core,Executive,Band 9 - SVP/C-Suite,9,G9B,Exempt,Technicians,518232,860343,1202455,30,Yes,Yes,3,18,1,Yes,Culpepper,65th Percentile,213,284,7,2025-03-26,JA-2026.1
JOB-2262,Finance Manager,Finance,Finance - Core,Management,Band 3 - Mid,3,G3A,Exempt,Technicians,86119,105804,125489,15,No,No,3,11,3,No,Culpepper,65th Percentile,188,456,12,2025-11-18,JA-2026.1
JOB-2263,Finance Manager,Finance,Finance - Core,Management,Band 3 - Mid,3,G3A,Exempt,Technicians,75109,90975,106842,15,No,No,3,11,3,No,Culpepper,65th Percentile,365,183,4,2025-11-18,JA-2026.1
JOB-2264,Chief Product Officer,Product,Product - Specialist,Executive,Band 9 - SVP/C-Suite,9,G9C,Exempt,Technicians,512246,878937,1245629,40,Yes,No,6,10,4,Yes,Culpepper,65th Percentile,195,281,14,2025-08-17,JA-2026.1
JOB-2265,Supply Chain Analyst,Operations,Operations - Specialist,Executive,Band 8 - VP,8,G8A,Exempt,Managers,354004,440830,527656,10,Yes,Hybrid,3,9,1,Yes,Mercer,75th Percentile,60,412,5,2025-04-14,JA-2026.1
JOB-2266,Chief Revenue Officer,Sales,Sales - Core,Executive,Band 8 - VP,8,G8A,Exempt,Administrative Support,382272,489150,596028,20,Yes,No,4,18,1,Yes,Willis Towers Watson,65th Percentile,32,211,19,2025-09-12,JA-2026.1
JOB-2267,CX Manager,Customer Experience,Customer Experience - Core,Management,Band 3 - Mid,3,G3C,Exempt,Professionals,79000,97852,116705,10,Yes,Yes,5,14,1,Yes,Radford,50th Percentile,382,283,22,2025-03-05,JA-2026.1
JOB-2268,Product Manager,Product,Product - Operations,Management,Band 3 - Mid,3,G3B,Exempt,Technicians,74799,89953,105107,10,Yes,Yes,4,12,3,No,Aon Hewitt,65th Percentile,61,482,18,2025-05-16,JA-2026.1
JOB-2269,Sales Development Rep,Sales,Sales - Operations,Individual Contributor,Band 1 - Entry,1,G1A,Exempt,Technicians,48817,59728,70639,5,No,Yes,0,0,1,Yes,Culpepper,75th Percentile,388,74,10,2025-04-23,JA-2026.1
JOB-2270,Financial Analyst,Finance,Finance - Specialist,Individual Contributor,Band 1 - Entry,1,G1B,Exempt,Technicians,49434,58629,67825,40,Yes,Hybrid,0,0,5,Yes,Mercer,75th Percentile,12,481,20,2025-02-21,JA-2026.1
JOB-2271,Operations Manager,Operations,Operations - Core,Management,Band 3 - Mid,3,G3C,Exempt,Managers,87593,100641,113689,5,No,Yes,5,14,2,Yes,Radford,50th Percentile,127,296,11,2025-07-20,JA-2026.1
JOB-2272,Sales Manager,Sales,Sales - Operations,Management,Band 4 - Senior,4,G4A,Exempt,Technicians,101740,126988,152237,30,No,Hybrid,5,10,6,No,Willis Towers Watson,75th Percentile,267,96,19,2025-09-11,JA-2026.1
JOB-2273,Operations Specialist,Operations,Operations - Core,Individual Contributor,Band 2 - Junior,2,G2A,Non-Exempt,Administrative Support,54020,68072,82124,25,Yes,Yes,0,0,4,Yes,Radford,75th Percentile,163,147,4,2025-07-05,JA-2026.1
JOB-2274,Director of Engineering,Engineering,Engineering - Core,Executive,Band 8 - VP,8,G8A,Exempt,Managers,316306,415413,514521,10,Yes,Yes,6,10,2,Yes,Culpepper,65th Percentile,139,162,6,2025-04-30,JA-2026.1
JOB-2275,Senior Product Manager,Product,Product - Specialist,Management,Band 4 - Senior,4,G4A,Exempt,Professionals,118818,136885,154953,10,No,No,5,19,4,No,Mercer,65th Percentile,304,190,5,2025-11-12,JA-2026.1
JOB-2276,Principal HRBP,People & HR,People & HR - Specialist,Technical Specialist,Band 4 - Senior,4,G4C,Exempt,Officials & Managers,107504,136155,164807,15,No,Yes,0,0,6,Yes,Mercer,65th Percentile,285,94,3,2025-01-07,JA-2026.1
JOB-2277,Principal HRBP,People & HR,People & HR - Specialist,Technical Specialist,Band 4 - Senior,4,G4C,Exempt,Officials & Managers,109879,126988,144097,15,No,Yes,0,0,6,Yes,Mercer,65th Percentile,350,479,2,2025-01-07,JA-2026.1
JOB-2278,Director Product,Product,Product - Core,Management,Band 7 - Director,7,G7B,Exempt,Professionals,273044,318263,363482,10,Yes,Yes,3,9,6,Yes,Aon Hewitt,65th Percentile,391,135,16,2025-06-23,JA-2026.1
JOB-2279,Director Product,Product,Product - Core,Management,Band 7 - Director,7,G7B,Exempt,Professionals,273184,324116,375049,10,Yes,Yes,3,9,6,Yes,Aon Hewitt,65th Percentile,273,404,18,2025-06-23,JA-2026.1
JOB-2280,Director Operations,Operations,Operations - Specialist,Management,Band 5 - Lead,5,G5B,Exempt,Managers,143875,172539,201203,15,Yes,Yes,5,12,4,Yes,Mercer,75th Percentile,103,53,4,2025-12-26,JA-2026.1
JOB-2281,Lead Data Scientist,Data Science,Data Science - Core,Technical Specialist,Band 5 - Lead,5,G5C,Exempt,Managers,137288,164603,191919,10,Yes,No,0,0,2,No,Aon Hewitt,65th Percentile,113,262,19,2025-11-14,JA-2026.1
JOB-2282,Product Analyst,Product,Product - Core,Individual Contributor,Band 1 - Entry,1,G1B,Non-Exempt,Administrative Support,42044,51786,61529,25,Yes,Yes,0,0,3,No,Culpepper,50th Percentile,336,369,22,2025-12-13,JA-2026.1
JOB-2283,Director Legal,Legal & Compliance,Legal & Compliance - Core,Management,Band 7 - Director,7,G7C,Exempt,Technicians,248366,307295,366225,20,Yes,Yes,4,17,4,Yes,Radford,65th Percentile,395,271,15,2025-12-09,JA-2026.1
JOB-2284,Director Finance,Finance,Finance - Specialist,Management,Band 5 - Lead,5,G5A,Exempt,Managers,152395,184491,216587,5,Yes,Yes,5,14,2,No,Culpepper,65th Percentile,128,58,12,2025-01-14,JA-2026.1
JOB-2285,CX Specialist,Customer Experience,Customer Experience - Operations,Individual Contributor,Band 1 - Entry,1,G1A,Exempt,Professionals,43981,51911,59842,15,No,No,0,0,4,No,Mercer,75th Percentile,345,367,5,2025-08-08,JA-2026.1
JOB-2286,Director HR,People & HR,People & HR - Core,Management,Band 7 - Director,7,G7B,Exempt,Technicians,268548,340235,411923,25,Yes,Hybrid,5,20,1,Yes,Aon Hewitt,65th Percentile,236,209,22,2025-03-19,JA-2026.1
JOB-2287,Senior Finance Manager,Finance,Finance - Core,Management,Band 4 - Senior,4,G4A,Exempt,Officials & Managers,103563,122959,142356,0,No,Yes,3,18,3,Yes,Willis Towers Watson,75th Percentile,325,19,17,2025-09-29,JA-2026.1
JOB-2288,VP Data & Analytics,Data Science,Data Science - Operations,Executive,Band 9 - SVP/C-Suite,9,G9C,Exempt,Officials & Managers,509446,810155,1110865,10,Yes,Yes,4,15,5,Yes,Radford,50th Percentile,81,60,16,2025-06-21,JA-2026.1
JOB-2289,CX Analyst,Customer Experience,Customer Experience - Specialist,Individual Contributor,Band 2 - Junior,2,G2B,Non-Exempt,Technicians,57921,71321,84722,40,Yes,Hybrid,0,0,5,Yes,Mercer,65th Percentile,156,369,19,2025-04-16,JA-2026.1
JOB-2290,Director Finance,Finance,Finance - Specialist,Management,Band 5 - Lead,5,G5A,Exempt,Managers,149424,177759,206095,5,Yes,Yes,5,14,2,No,Culpepper,65th Percentile,168,233,4,2025-01-14,JA-2026.1
JOB-2291,Chief Data Officer,Data Science,Data Science - Operations,Executive,Band 9 - SVP/C-Suite,9,G9C,Exempt,Professionals,477014,830542,1184071,20,Yes,Yes,5,14,3,Yes,Mercer,50th Percentile,293,92,25,2025-01-19,JA-2026.1
JOB-2292,Senior Data Analyst,Data Science,Data Science - Specialist,Individual Contributor,Band 2 - Junior,2,G2A,Non-Exempt,Administrative Support,60418,69371,78324,20,No,No,0,0,5,Yes,Willis Towers Watson,65th Percentile,342,250,20,2025-12-04,JA-2026.1
JOB-2293,Chief Data Officer,Data Science,Data Science - Operations,Executive,Band 9 - SVP/C-Suite,9,G9C,Exempt,Professionals,523054,867066,1211079,20,Yes,Yes,5,14,3,Yes,Mercer,50th Percentile,122,252,9,2025-01-19,JA-2026.1
JOB-2294,CFO,Finance,Finance - Operations,Executive,Band 8 - VP,8,G8B,Exempt,Officials & Managers,358361,449402,540444,30,Yes,No,5,13,6,Yes,Willis Towers Watson,50th Percentile,283,500,7,2025-02-02,JA-2026.1
JOB-2295,Senior Product Manager,Product,Product - Specialist,Management,Band 4 - Senior,4,G4A,Exempt,Professionals,115186,136033,156881,10,No,No,5,19,4,No,Mercer,65th Percentile,355,102,24,2025-11-12,JA-2026.1
JOB-2296,Senior Engineering Manager,Engineering,Engineering - Operations,Management,Band 7 - Director,7,G7B,Exempt,Technicians,266387,321394,376402,25,Yes,No,3,10,6,Yes,Culpepper,75th Percentile,5,428,0,2025-02-19,JA-2026.1
JOB-2297,Senior HR Manager,People & HR,People & HR - Core,Management,Band 6 - Principal,6,G6B,Exempt,Technicians,187965,241999,296033,10,Yes,Yes,5,20,5,No,Willis Towers Watson,50th Percentile,211,446,19,2025-02-07,JA-2026.1
JOB-2298,VP Engineering,Engineering,Engineering - Specialist,Executive,Band 9 - SVP/C-Suite,9,G9A,Exempt,Managers,494499,887650,1280801,10,Yes,Yes,5,8,5,Yes,Radford,65th Percentile,45,54,2,2025-06-22,JA-2026.1
JOB-2299,Product Operations Manager,Product,Product - Operations,Executive,Band 9 - SVP/C-Suite,9,G9B,Exempt,Professionals,527437,904352,1281267,40,Yes,Yes,6,11,1,Yes,Willis Towers Watson,65th Percentile,144,140,15,2025-06-10,JA-2026.1
JOB-2300,Senior Marketing Specialist,Marketing,Marketing - Core,Individual Contributor,Band 3 - Mid,3,G3A,Exempt,Professionals,82795,97945,113095,0,No,Hybrid,0,0,2,Yes,Willis Towers Watson,50th Percentile,200,281,8,2025-06-08,JA-2026.1
JOB-2301,FP&A Analyst,Finance,Finance - Operations,Executive,Band 9 - SVP/C-Suite,9,G9A,Exempt,Administrative Support,540019,844129,1148240,20,Yes,Yes,6,9,6,Yes,Radford,65th Percentile,21,32,1,2025-06-14,JA-2026.1
JOB-2302,Operations Manager,Operations,Operations - Core,Management,Band 3 - Mid,3,G3C,Exempt,Managers,83290,100593,117897,5,No,Yes,5,14,2,Yes,Radford,50th Percentile,294,430,2,2025-07-20,JA-2026.1
JOB-2303,Product Operations Manager,Product,Product - Operations,Executive,Band 9 - SVP/C-Suite,9,G9B,Exempt,Professionals,521310,865887,1210464,40,Yes,Yes,6,11,1,Yes,Willis Towers Watson,65th Percentile,308,69,6,2025-06-10,JA-2026.1
JOB-2304,Support Lead,Customer Experience,Customer Experience - Operations,Executive,Band 9 - SVP/C-Suite,9,G9B,Exempt,Officials & Managers,519631,863616,1207602,15,Yes,Yes,4,9,6,Yes,Radford,50th Percentile,315,37,7,2025-09-28,JA-2026.1
JOB-2305,Senior Account Executive,Sales,Sales - Core,Individual Contributor,Band 3 - Mid,3,G3B,Exempt,Managers,77541,91860,106180,40,No,Hybrid,0,0,3,No,Mercer,65th Percentile,294,169,11,2025-03-27,JA-2026.1
JOB-2306,Director CX,Customer Experience,Customer Experience - Operations,Management,Band 5 - Lead,5,G5B,Exempt,Managers,134707,159158,183609,5,Yes,Hybrid,4,19,3,No,Culpepper,50th Percentile,70,389,0,2025-04-13,JA-2026.1
JOB-2307,VP Marketing,Marketing,Marketing - Core,Management,Band 7 - Director,7,G7A,Exempt,Administrative Support,254156,322163,390171,30,Yes,Yes,3,13,6,Yes,Aon Hewitt,75th Percentile,39,412,19,2025-08-05,JA-2026.1
JOB-2308,Voice of Customer Analyst,Customer Experience,Customer Experience - Core,Executive,Band 9 - SVP/C-Suite,9,G9C,Exempt,Administrative Support,535878,850839,1165800,30,Yes,Hybrid,3,12,4,Yes,Mercer,75th Percentile,362,386,17,2025-11-04,JA-2026.1
JOB-2309,VP Product,Product,Product - Operations,Executive,Band 8 - VP,8,G8A,Exempt,Technicians,346531,463649,580767,30,Yes,No,5,12,6,Yes,Mercer,75th Percentile,342,309,6,2025-10-19,JA-2026.1
JOB-2310,Operations Specialist,Operations,Operations - Core,Individual Contributor,Band 2 - Junior,2,G2A,Non-Exempt,Administrative Support,62253,70572,78891,25,Yes,Yes,0,0,4,Yes,Radford,75th Percentile,153,96,2,2025-07-05,JA-2026.1
JOB-2311,Onboarding Specialist,Customer Experience,Customer Experience - Operations,Executive,Band 8 - VP,8,G8A,Exempt,Administrative Support,316414,408753,501092,40,Yes,No,5,19,5,Yes,Willis Towers Watson,75th Percentile,93,441,24,2025-08-26,JA-2026.1
JOB-2312,Product Operations Manager,Product,Product - Operations,Executive,Band 9 - SVP/C-Suite,9,G9B,Exempt,Professionals,499867,884573,1269280,40,Yes,Yes,6,11,1,Yes,Willis Towers Watson,65th Percentile,41,150,12,2025-06-10,JA-2026.1
JOB-2313,VP Customer Success,Customer Experience,Customer Experience - Core,Management,Band 6 - Principal,6,G6C,Exempt,Administrative Support,204256,226212,248168,25,Yes,Yes,6,9,3,No,Mercer,50th Percentile,120,335,23,2025-03-03,JA-2026.1
JOB-2314,VP Engineering,Engineering,Engineering - Specialist,Executive,Band 9 - SVP/C-Suite,9,G9A,Exempt,Managers,510453,909610,1308768,10,Yes,Yes,5,8,5,Yes,Radford,65th Percentile,359,272,12,2025-06-22,JA-2026.1
JOB-2315,HR Manager,People & HR,People & HR - Core,Management,Band 5 - Lead,5,G5B,Exempt,Professionals,133922,175994,218067,15,Yes,No,3,10,2,No,Willis Towers Watson,65th Percentile,182,426,6,2025-07-23,JA-2026.1
JOB-2316,Chief Customer Officer,Customer Experience,Customer Experience - Core,Individual Contributor,Band 7 - Director,7,G7A,Exempt,Technicians,265959,335098,404237,10,Yes,No,0,0,1,Yes,Culpepper,65th Percentile,186,441,22,2025-09-22,JA-2026.1
JOB-2317,Paralegal,Legal & Compliance,Legal & Compliance - Specialist,Individual Contributor,Band 2 - Junior,2,G2C,Non-Exempt,Technicians,55924,71515,87107,15,No,Hybrid,0,0,2,Yes,Aon Hewitt,75th Percentile,89,405,13,2025-05-23,JA-2026.1
JOB-2318,Director of Analytics,Data Science,Data Science - Core,Executive,Band 8 - VP,8,G8B,Exempt,Officials & Managers,384545,476196,567848,30,Yes,Yes,5,12,2,Yes,Willis Towers Watson,65th Percentile,366,223,17,2025-09-03,JA-2026.1
JOB-2319,Director Legal,Legal & Compliance,Legal & Compliance - Core,Management,Band 7 - Director,7,G7C,Exempt,Technicians,260914,325913,390912,20,Yes,Yes,4,17,4,Yes,Radford,65th Percentile,26,373,22,2025-12-09,JA-2026.1
JOB-2320,Senior Operations Manager,Operations,Operations - Specialist,Management,Band 4 - Senior,4,G4C,Exempt,Administrative Support,106314,126371,146428,30,No,No,5,9,2,No,Mercer,50th Percentile,50,21,25,2025-01-03,JA-2026.1
JOB-2321,Finance Manager,Finance,Finance - Core,Management,Band 3 - Mid,3,G3A,Exempt,Technicians,82444,96119,109795,15,No,No,3,11,3,No,Culpepper,65th Percentile,26,113,3,2025-11-18,JA-2026.1
JOB-2322,Senior Data Analyst,Data Science,Data Science - Specialist,Individual Contributor,Band 2 - Junior,2,G2A,Non-Exempt,Administrative Support,55144,67386,79628,20,No,No,0,0,5,Yes,Willis Towers Watson,65th Percentile,224,88,1,2025-12-04,JA-2026.1
JOB-2323,Senior Sales Manager,Sales,Sales - Core,Management,Band 5 - Lead,5,G5B,Exempt,Professionals,157351,170120,182889,20,Yes,Yes,5,9,1,No,Willis Towers Watson,75th Percentile,287,9,14,2025-07-10,JA-2026.1
JOB-2324,VP Marketing,Marketing,Marketing - Core,Management,Band 7 - Director,7,G7A,Exempt,Administrative Support,257844,323191,388538,30,Yes,Yes,3,13,6,Yes,Aon Hewitt,75th Percentile,294,6,12,2025-08-05,JA-2026.1
JOB-2325,Operations Specialist,Operations,Operations - Core,Individual Contributor,Band 2 - Junior,2,G2A,Non-Exempt,Administrative Support,54247,72012,89777,25,Yes,Yes,0,0,4,Yes,Radford,75th Percentile,90,134,7,2025-07-05,JA-2026.1
JOB-2326,VP Marketing,Marketing,Marketing - Core,Management,Band 7 - Director,7,G7A,Exempt,Administrative Support,231765,323604,415444,30,Yes,Yes,3,13,6,Yes,Aon Hewitt,75th Percentile,325,327,19,2025-08-05,JA-2026.1
JOB-2327,Product Analyst,Product,Product - Core,Individual Contributor,Band 1 - Entry,1,G1B,Non-Exempt,Administrative Support,47793,58538,69283,25,Yes,Yes,0,0,3,No,Culpepper,50th Percentile,213,121,10,2025-12-13,JA-2026.1
JOB-2328,Onboarding Specialist,Customer Experience,Customer Experience - Operations,Executive,Band 8 - VP,8,G8A,Exempt,Administrative Support,348240,459945,571651,40,Yes,No,5,19,5,Yes,Willis Towers Watson,75th Percentile,233,92,2,2025-08-26,JA-2026.1
