interaction_id,employee_id,department,customer_id,interaction_date,channel,product_service,csat_score,nps_score,resolution_time_hrs,first_contact_resolution,escalated,sentiment,feedback_category,region,repeat_contact
INT00192,EMP00634,Customer Success,CUST19686,2023-11-26,Phone,Starter Plan,2.5,10,59.2,No,No,Negative,Accuracy,EMEA,No
INT00193,EMP00851,Support,CUST87977,2024-08-25,Self-Service Portal,Product B,2.7,0,3.8,Yes,Yes,Neutral,Knowledge,North America,Yes
INT00194,EMP00384,Sales,CUST64552,2022-03-24,Phone,Enterprise Plan,3.0,8,22.1,Yes,Yes,Positive,Courtesy,LATAM,Yes
INT00195,EMP00242,Customer Success,CUST57858,2023-03-12,Self-Service Portal,Enterprise Plan,3.1,10,43.3,Yes,No,Negative,Speed,APAC,No
INT00196,EMP00558,Sales,CUST75913,2022-10-24,Email,Starter Plan,2.7,6,2.5,Yes,Yes,Negative,Follow-Up,LATAM,Yes
INT00197,EMP01145,Sales,CUST79682,2022-12-18,Phone,Product B,4.4,10,6.9,Yes,No,Positive,Speed,LATAM,Yes
INT00198,EMP01004,Support,CUST83842,2024-09-14,Phone,Product C,4.8,10,11.2,Yes,No,Negative,Knowledge,LATAM,No
INT00199,EMP00494,Customer Success,CUST14345,2022-04-14,Self-Service Portal,Product C,2.3,1,43.0,Yes,No,Positive,Accuracy,LATAM,No
INT00200,EMP00489,Sales,CUST71976,2022-06-12,Chat,Service Package 1,4.1,2,46.4,Yes,Yes,Neutral,Knowledge,EMEA,Yes
INT00201,EMP00468,Sales,CUST70075,2024-02-02,Phone,Enterprise Plan,3.6,4,58.9,Yes,No,Positive,Knowledge,APAC,No
INT00202,EMP01191,Sales,CUST64419,2022-01-19,Phone,Service Package 1,1.3,8,34.2,No,No,Negative,Speed,LATAM,Yes
INT00203,EMP00953,Sales,CUST29922,2025-09-08,Chat,Service Package 1,2.5,4,38.3,No,No,Negative,Speed,LATAM,Yes
INT00204,EMP00210,Sales,CUST77284,2025-06-12,Self-Service Portal,Enterprise Plan,1.4,2,41.0,No,No,Positive,Accuracy,EMEA,No
INT00205,EMP00690,Operations,CUST27862,2023-03-15,Chat,Product B,3.6,3,59.4,Yes,No,Neutral,Courtesy,North America,Yes
INT00206,EMP00250,Support,CUST93348,2023-07-17,Email,Product B,4.6,5,27.5,No,No,Neutral,Knowledge,LATAM,Yes
INT00207,EMP00828,Customer Success,CUST92875,2025-07-30,Email,Product C,4.9,7,18.7,Yes,No,Positive,Speed,APAC,Yes
INT00208,EMP01099,Sales,CUST84331,2022-02-24,Email,Starter Plan,1.4,9,29.7,No,No,Negative,Speed,EMEA,No
INT00209,EMP01137,Operations,CUST48268,2026-03-02,Self-Service Portal,Product C,1.4,10,7.5,No,No,Positive,Accuracy,APAC,No
INT00210,EMP00770,Support,CUST86772,2024-07-23,In-Person,Service Package 1,2.2,6,40.6,No,No,Negative,Speed,EMEA,No
INT00211,EMP00328,Operations,CUST69630,2025-12-01,Chat,Service Package 1,3.5,4,71.5,Yes,No,Negative,Courtesy,APAC,No
INT00212,EMP00777,Sales,CUST48592,2023-08-27,In-Person,Starter Plan,3.2,2,3.0,Yes,No,Neutral,Knowledge,EMEA,No
INT00213,EMP00327,Customer Success,CUST40740,2024-09-20,Email,Starter Plan,2.1,0,68.3,No,No,Positive,Courtesy,EMEA,Yes
INT00214,EMP01009,Customer Success,CUST54231,2026-07-17,In-Person,Product B,2.5,7,32.8,Yes,Yes,Positive,Accuracy,North America,Yes
INT00215,EMP00079,Support,CUST35017,2023-02-16,Phone,Service Package 1,2.9,0,52.0,Yes,No,Positive,Courtesy,EMEA,Yes
INT00216,EMP00505,Support,CUST18169,2025-03-13,Self-Service Portal,Product C,2.5,0,66.9,No,No,Neutral,Speed,North America,Yes
INT00217,EMP00787,Sales,CUST19284,2025-05-05,Self-Service Portal,Product C,2.1,8,4.0,No,No,Negative,Knowledge,APAC,No
INT00218,EMP00887,Sales,CUST93411,2025-06-07,Phone,Starter Plan,4.5,6,23.3,No,No,Positive,Accuracy,LATAM,No
INT00219,EMP00513,Operations,CUST35812,2024-09-15,Phone,Product C,1.7,10,4.7,Yes,Yes,Neutral,Accuracy,EMEA,No
INT00220,EMP00922,Operations,CUST79284,2024-10-06,Phone,Product A,1.0,8,24.6,Yes,Yes,Neutral,Follow-Up,EMEA,No
INT00221,EMP00973,Operations,CUST41482,2025-09-30,Email,Enterprise Plan,4.4,1,13.5,Yes,No,Negative,Accuracy,EMEA,No
INT00222,EMP00096,Operations,CUST30260,2022-01-12,Email,Service Package 1,4.9,0,9.4,Yes,No,Positive,Knowledge,EMEA,No
INT00223,EMP00487,Operations,CUST64954,2025-01-04,Phone,Product B,1.4,9,46.3,No,Yes,Neutral,Follow-Up,North America,No
INT00224,EMP00788,Operations,CUST12858,2022-04-01,Chat,Product C,3.4,3,53.3,Yes,No,Neutral,Courtesy,North America,No
INT00225,EMP00797,Customer Success,CUST57708,2025-06-18,Phone,Product B,4.2,7,43.9,Yes,No,Negative,Accuracy,EMEA,No
INT00226,EMP00689,Support,CUST68387,2023-09-16,Phone,Enterprise Plan,4.6,5,71.8,Yes,Yes,Neutral,Knowledge,North America,Yes
INT00227,EMP00852,Sales,CUST44818,2022-01-28,Self-Service Portal,Starter Plan,1.4,6,63.2,Yes,No,Negative,Accuracy,North America,Yes
INT00228,EMP00405,Sales,CUST59504,2023-02-16,Chat,Product C,4.2,2,38.5,Yes,No,Positive,Accuracy,LATAM,No
INT00229,EMP00569,Support,CUST59085,2026-05-24,Self-Service Portal,Product A,2.6,9,70.1,No,Yes,Neutral,Accuracy,LATAM,No
INT00230,EMP00233,Support,CUST90242,2022-08-12,Chat,Service Package 1,2.9,10,54.1,No,No,Negative,Speed,LATAM,No
INT00231,EMP00060,Operations,CUST12151,2025-10-02,Self-Service Portal,Product A,1.6,7,61.6,No,Yes,Positive,Follow-Up,EMEA,Yes
INT00232,EMP00544,Operations,CUST18772,2023-10-02,In-Person,Product A,5.0,7,25.2,No,No,Positive,Speed,North America,Yes
INT00233,EMP00232,Operations,CUST91331,2024-07-01,In-Person,Product C,4.2,7,0.6,Yes,No,Negative,Speed,North America,No
INT00234,EMP00699,Operations,CUST19089,2022-10-18,Chat,Service Package 1,2.6,5,29.7,Yes,Yes,Positive,Courtesy,North America,No
INT00235,EMP00278,Customer Success,CUST32940,2024-02-22,Phone,Product C,1.7,2,58.6,Yes,No,Neutral,Knowledge,LATAM,No
INT00236,EMP00705,Customer Success,CUST37585,2024-05-14,Self-Service Portal,Product A,3.4,8,1.7,Yes,No,Negative,Knowledge,EMEA,No
INT00237,EMP01127,Customer Success,CUST15579,2026-03-07,Email,Service Package 1,4.8,2,44.0,No,Yes,Neutral,Speed,North America,Yes
INT00238,EMP00224,Sales,CUST89964,2022-03-25,Chat,Enterprise Plan,3.0,8,21.0,Yes,No,Negative,Accuracy,LATAM,No
INT00239,EMP00431,Customer Success,CUST39045,2025-11-09,Chat,Enterprise Plan,2.0,0,33.6,Yes,No,Negative,Courtesy,EMEA,Yes
INT00240,EMP00484,Support,CUST31458,2022-10-02,Email,Enterprise Plan,1.9,1,22.5,Yes,No,Positive,Speed,APAC,No
INT00241,EMP00990,Operations,CUST92563,2026-02-02,Phone,Product C,4.5,10,49.5,Yes,Yes,Negative,Accuracy,North America,No
INT00242,EMP00073,Support,CUST40145,2025-04-08,Chat,Product C,2.0,2,65.1,Yes,No,Negative,Speed,EMEA,No
INT00243,EMP01155,Sales,CUST80221,2024-07-27,Self-Service Portal,Enterprise Plan,2.1,1,0.3,Yes,Yes,Neutral,Follow-Up,LATAM,No
INT00244,EMP00576,Sales,CUST67913,2023-03-21,Phone,Product A,3.3,0,60.0,Yes,No,Positive,Knowledge,EMEA,Yes
INT00245,EMP01169,Sales,CUST45607,2022-04-25,Phone,Product A,2.5,8,67.0,Yes,No,Negative,Speed,LATAM,Yes
INT00246,EMP00352,Customer Success,CUST85265,2024-08-07,Chat,Starter Plan,3.6,0,32.8,Yes,Yes,Negative,Follow-Up,North America,No
INT00247,EMP00859,Support,CUST94281,2022-04-25,Chat,Service Package 1,2.4,5,16.9,Yes,Yes,Positive,Knowledge,LATAM,Yes
INT00248,EMP00844,Customer Success,CUST69585,2022-10-04,In-Person,Service Package 1,2.3,10,44.0,Yes,No,Positive,Speed,LATAM,Yes
INT00249,EMP00151,Operations,CUST87398,2024-11-25,Phone,Product C,4.1,2,47.0,Yes,No,Negative,Accuracy,EMEA,Yes
INT00250,EMP00052,Support,CUST98609,2023-07-17,Self-Service Portal,Product B,1.6,9,19.3,No,No,Negative,Speed,LATAM,No
INT00251,EMP00256,Customer Success,CUST80187,2024-02-02,In-Person,Product A,4.0,1,59.8,Yes,Yes,Neutral,Accuracy,LATAM,No
INT00252,EMP00895,Operations,CUST52154,2024-01-06,In-Person,Product A,3.4,5,34.8,Yes,No,Neutral,Speed,EMEA,No
INT00253,EMP00857,Support,CUST19412,2024-08-08,In-Person,Service Package 1,4.9,10,68.1,Yes,No,Positive,Knowledge,EMEA,No
INT00254,EMP00059,Operations,CUST35078,2023-12-07,Self-Service Portal,Starter Plan,1.9,2,55.6,Yes,Yes,Negative,Speed,North America,No
INT00255,EMP00222,Sales,CUST91878,2025-04-22,Self-Service Portal,Product B,4.9,4,37.7,No,Yes,Positive,Speed,North America,Yes
INT00256,EMP00390,Support,CUST78139,2022-02-23,In-Person,Service Package 1,4.5,1,4.2,Yes,No,Positive,Courtesy,APAC,No
INT00257,EMP01189,Sales,CUST77028,2024-09-01,Self-Service Portal,Product C,3.4,6,16.3,Yes,No,Positive,Courtesy,APAC,No
INT00258,EMP01120,Customer Success,CUST91248,2024-05-04,In-Person,Product B,4.3,10,3.5,Yes,No,Positive,Knowledge,EMEA,No
INT00259,EMP00705,Operations,CUST14694,2024-11-27,Phone,Product C,1.3,8,59.7,Yes,No,Neutral,Follow-Up,EMEA,Yes
INT00260,EMP00875,Sales,CUST63801,2022-05-11,Chat,Starter Plan,4.4,4,28.6,Yes,No,Neutral,Courtesy,EMEA,Yes
INT00261,EMP00127,Customer Success,CUST27815,2024-04-20,In-Person,Enterprise Plan,3.4,7,22.4,Yes,No,Neutral,Knowledge,North America,No
INT00262,EMP01072,Customer Success,CUST33059,2024-02-03,Chat,Product B,3.5,10,29.3,Yes,No,Negative,Courtesy,APAC,No
INT00263,EMP00516,Customer Success,CUST18612,2025-09-27,Chat,Enterprise Plan,3.6,6,37.9,Yes,No,Neutral,Accuracy,APAC,No
INT00264,EMP00678,Sales,CUST79434,2023-01-23,Email,Product C,1.1,2,13.6,Yes,No,Positive,Follow-Up,APAC,Yes
INT00265,EMP00902,Customer Success,CUST51020,2022-03-16,Phone,Product A,1.6,10,17.8,Yes,Yes,Neutral,Accuracy,North America,Yes
INT00266,EMP01165,Support,CUST15304,2022-09-06,In-Person,Service Package 1,4.3,4,45.0,Yes,No,Negative,Accuracy,EMEA,No
INT00267,EMP01160,Support,CUST22696,2022-08-18,Phone,Enterprise Plan,3.9,7,2.3,Yes,No,Negative,Speed,North America,No
INT00268,EMP01184,Sales,CUST49128,2026-01-17,In-Person,Starter Plan,3.2,7,33.4,Yes,No,Neutral,Knowledge,LATAM,No
INT00269,EMP00428,Customer Success,CUST70530,2022-10-28,Phone,Starter Plan,4.6,8,12.7,Yes,No,Negative,Speed,North America,No
INT00270,EMP01051,Support,CUST61579,2023-08-19,Email,Enterprise Plan,3.0,3,21.7,No,No,Positive,Courtesy,LATAM,Yes
INT00271,EMP00199,Customer Success,CUST21196,2023-03-17,Chat,Product C,3.9,2,22.6,No,No,Neutral,Courtesy,LATAM,No
INT00272,EMP00640,Sales,CUST25712,2023-02-25,Email,Enterprise Plan,1.4,5,67.1,Yes,No,Neutral,Follow-Up,EMEA,Yes
INT00273,EMP00483,Sales,CUST91620,2025-12-26,Phone,Starter Plan,2.2,6,0.4,Yes,No,Negative,Knowledge,APAC,Yes
INT00274,EMP00963,Sales,CUST47719,2026-07-24,Self-Service Portal,Product A,4.0,1,37.0,No,Yes,Neutral,Follow-Up,North America,No
INT00275,EMP00521,Customer Success,CUST51770,2025-12-02,Email,Service Package 1,2.8,1,5.3,Yes,No,Neutral,Speed,LATAM,No
INT00276,EMP00419,Operations,CUST20855,2023-05-05,Email,Product A,2.2,6,60.6,Yes,No,Positive,Knowledge,EMEA,No
INT00277,EMP01038,Customer Success,CUST94173,2025-12-28,Self-Service Portal,Service Package 1,3.3,1,57.6,Yes,No,Positive,Knowledge,EMEA,No
INT00278,EMP00794,Customer Success,CUST88590,2025-12-13,In-Person,Service Package 1,4.6,9,31.7,No,No,Negative,Speed,LATAM,Yes
INT00279,EMP00822,Operations,CUST74181,2022-07-13,Chat,Product A,2.7,8,12.6,Yes,No,Positive,Speed,LATAM,Yes
INT00280,EMP00331,Customer Success,CUST28094,2024-07-14,Phone,Starter Plan,3.9,2,6.2,Yes,Yes,Negative,Knowledge,North America,No
INT00281,EMP00826,Sales,CUST70122,2023-03-25,Phone,Service Package 1,2.9,4,69.4,Yes,No,Positive,Knowledge,LATAM,No
INT00282,EMP00849,Customer Success,CUST68655,2024-10-21,Chat,Product A,2.3,8,25.2,Yes,No,Positive,Knowledge,North America,Yes
INT00283,EMP00774,Operations,CUST42629,2024-08-20,Phone,Product A,2.1,9,48.8,No,No,Positive,Courtesy,EMEA,No
INT00284,EMP01137,Customer Success,CUST29043,2025-11-08,Chat,Enterprise Plan,3.0,3,51.7,Yes,No,Negative,Follow-Up,EMEA,No
INT00285,EMP01028,Operations,CUST44859,2022-11-22,Phone,Product C,1.3,2,50.9,No,Yes,Positive,Follow-Up,North America,No
INT00286,EMP00277,Sales,CUST72810,2024-09-24,Chat,Service Package 1,3.6,5,13.8,Yes,No,Neutral,Knowledge,EMEA,Yes
INT00287,EMP00864,Support,CUST31230,2024-06-11,In-Person,Service Package 1,2.8,0,6.4,Yes,No,Neutral,Accuracy,LATAM,No
INT00288,EMP00549,Sales,CUST47045,2022-03-18,In-Person,Product A,3.8,6,10.3,No,No,Neutral,Courtesy,LATAM,No
INT00289,EMP00630,Operations,CUST13689,2025-08-05,Chat,Service Package 1,2.0,1,16.6,Yes,No,Neutral,Knowledge,North America,No
INT00290,EMP00315,Operations,CUST28813,2025-06-14,Chat,Product C,1.5,5,62.7,Yes,Yes,Positive,Courtesy,North America,No
INT00291,EMP01136,Customer Success,CUST17673,2024-05-28,Chat,Enterprise Plan,4.3,5,49.5,Yes,No,Positive,Accuracy,LATAM,Yes
INT00292,EMP00465,Operations,CUST52254,2022-02-14,Chat,Starter Plan,4.4,4,15.2,Yes,No,Positive,Accuracy,LATAM,No
INT00293,EMP00562,Operations,CUST33897,2023-08-04,Phone,Service Package 1,4.6,8,14.8,No,No,Negative,Courtesy,APAC,No
INT00294,EMP00990,Customer Success,CUST28905,2023-03-14,Phone,Service Package 1,3.6,1,3.2,Yes,No,Neutral,Speed,North America,No
INT00295,EMP00922,Support,CUST23890,2024-02-03,Self-Service Portal,Service Package 1,3.0,5,48.5,Yes,Yes,Negative,Follow-Up,LATAM,No
INT00296,EMP00560,Customer Success,CUST51426,2026-03-28,Chat,Product A,2.8,7,70.0,Yes,No,Negative,Knowledge,EMEA,No
INT00297,EMP00375,Customer Success,CUST49869,2025-02-10,Phone,Enterprise Plan,2.6,2,61.1,Yes,No,Positive,Knowledge,APAC,No
INT00298,EMP00663,Customer Success,CUST87438,2022-06-02,In-Person,Product A,1.2,2,51.0,Yes,No,Negative,Courtesy,LATAM,No
INT00299,EMP00322,Operations,CUST59208,2022-10-03,Chat,Product B,4.4,1,64.1,Yes,No,Negative,Speed,LATAM,No
INT00300,EMP01144,Operations,CUST23545,2023-09-04,In-Person,Enterprise Plan,1.6,1,49.9,Yes,No,Negative,Knowledge,APAC,No
INT00301,EMP00564,Customer Success,CUST32337,2022-12-22,Self-Service Portal,Service Package 1,2.7,0,48.9,Yes,No,Neutral,Speed,LATAM,No
INT00302,EMP00608,Customer Success,CUST39814,2025-05-19,Phone,Product C,1.1,0,36.6,No,No,Negative,Follow-Up,EMEA,No
INT00303,EMP00671,Operations,CUST23237,2023-07-31,Email,Service Package 1,1.1,3,66.5,Yes,No,Negative,Speed,EMEA,No
INT00304,EMP01194,Support,CUST40037,2023-11-18,Email,Starter Plan,1.5,4,8.7,No,No,Neutral,Accuracy,North America,No
INT00305,EMP01151,Support,CUST61383,2024-04-24,Phone,Enterprise Plan,1.0,2,37.1,Yes,No,Positive,Speed,North America,No
INT00306,EMP00244,Sales,CUST13776,2022-07-04,Chat,Product A,1.6,6,63.2,Yes,No,Neutral,Accuracy,LATAM,No
INT00307,EMP00914,Customer Success,CUST94622,2023-07-14,Phone,Product A,2.2,5,9.9,No,No,Neutral,Knowledge,North America,No
INT00308,EMP00052,Support,CUST91792,2025-11-21,Chat,Product B,2.5,5,50.7,Yes,No,Neutral,Knowledge,APAC,Yes
INT00309,EMP00414,Operations,CUST29040,2026-07-28,Self-Service Portal,Product A,1.4,2,15.1,Yes,No,Negative,Follow-Up,LATAM,Yes
INT00310,EMP00851,Operations,CUST76086,2022-03-09,Email,Enterprise Plan,2.3,4,66.3,Yes,No,Neutral,Accuracy,LATAM,No
INT00311,EMP01002,Customer Success,CUST17441,2023-12-11,In-Person,Product B,3.1,4,20.5,Yes,No,Negative,Speed,North America,No
INT00312,EMP00191,Operations,CUST15687,2025-12-31,Self-Service Portal,Service Package 1,1.7,10,17.8,Yes,No,Positive,Accuracy,LATAM,Yes
INT00313,EMP00665,Customer Success,CUST11105,2026-04-23,Phone,Product B,3.0,10,45.7,Yes,Yes,Positive,Speed,LATAM,No
INT00314,EMP01050,Operations,CUST14769,2022-04-11,In-Person,Service Package 1,4.4,5,32.3,Yes,No,Neutral,Courtesy,LATAM,Yes
INT00315,EMP00386,Support,CUST75107,2024-05-02,Chat,Service Package 1,4.4,9,4.6,Yes,No,Neutral,Follow-Up,APAC,No
INT00316,EMP00015,Support,CUST25741,2025-05-18,Self-Service Portal,Product A,3.3,9,44.6,Yes,No,Neutral,Speed,EMEA,Yes
INT00317,EMP00799,Operations,CUST27565,2026-01-30,Chat,Starter Plan,1.4,3,7.1,Yes,Yes,Negative,Knowledge,North America,Yes
INT00318,EMP00465,Customer Success,CUST31263,2023-07-20,In-Person,Service Package 1,4.7,6,47.9,No,No,Negative,Speed,LATAM,No
INT00319,EMP00184,Customer Success,CUST76579,2022-04-20,Self-Service Portal,Starter Plan,4.8,0,33.9,Yes,No,Neutral,Accuracy,EMEA,No
INT00320,EMP01080,Support,CUST56042,2022-08-25,Chat,Starter Plan,2.8,3,18.7,Yes,Yes,Neutral,Speed,North America,Yes
INT00321,EMP00478,Support,CUST74532,2025-07-05,Phone,Product C,4.5,3,47.0,Yes,No,Positive,Knowledge,APAC,No
INT00322,EMP00768,Customer Success,CUST66311,2023-03-03,In-Person,Enterprise Plan,4.8,3,40.6,Yes,No,Negative,Accuracy,LATAM,No
INT00323,EMP00477,Support,CUST98370,2022-06-13,Phone,Product C,1.5,6,19.4,Yes,No,Neutral,Speed,LATAM,No
INT00324,EMP00434,Sales,CUST13378,2023-12-09,Chat,Product A,4.0,6,41.1,Yes,Yes,Neutral,Follow-Up,EMEA,No
INT00325,EMP01143,Sales,CUST69780,2022-10-17,Chat,Service Package 1,4.0,3,66.0,Yes,Yes,Positive,Follow-Up,EMEA,No
INT00326,EMP00318,Support,CUST19514,2022-07-07,In-Person,Service Package 1,1.5,5,50.7,No,No,Positive,Speed,LATAM,No
INT00327,EMP00322,Customer Success,CUST23656,2023-12-02,Email,Product A,4.1,9,66.4,Yes,No,Negative,Follow-Up,EMEA,No
INT00328,EMP00015,Operations,CUST15169,2024-08-20,Email,Enterprise Plan,3.5,5,7.3,Yes,Yes,Positive,Follow-Up,LATAM,No
INT00329,EMP01066,Operations,CUST35492,2023-11-13,Self-Service Portal,Product C,1.4,3,0.8,No,No,Neutral,Knowledge,APAC,No
INT00330,EMP00511,Operations,CUST74154,2022-03-15,Self-Service Portal,Service Package 1,2.0,2,9.9,No,No,Negative,Courtesy,North America,No
INT00331,EMP00059,Sales,CUST24350,2022-11-13,Phone,Enterprise Plan,5.0,4,19.1,Yes,Yes,Neutral,Courtesy,APAC,Yes
INT00332,EMP00502,Sales,CUST72500,2026-01-03,Chat,Product A,2.4,6,18.2,Yes,No,Neutral,Follow-Up,EMEA,Yes
INT00333,EMP01023,Customer Success,CUST91750,2023-01-11,Phone,Service Package 1,2.2,1,48.3,Yes,No,Positive,Follow-Up,LATAM,No
INT00334,EMP00388,Sales,CUST93568,2024-10-29,Chat,Product C,1.8,1,54.6,Yes,No,Neutral,Speed,APAC,No
INT00335,EMP00025,Customer Success,CUST85966,2025-02-15,Self-Service Portal,Product B,3.9,8,52.9,Yes,Yes,Neutral,Accuracy,North America,No
INT00336,EMP00178,Support,CUST94712,2026-06-17,In-Person,Product C,2.0,0,4.6,Yes,No,Negative,Accuracy,North America,No
INT00337,EMP00332,Sales,CUST31411,2025-12-30,In-Person,Product C,3.3,2,16.0,No,No,Neutral,Courtesy,APAC,Yes
INT00338,EMP00455,Sales,CUST49927,2024-09-12,In-Person,Starter Plan,2.1,9,42.1,Yes,No,Positive,Courtesy,EMEA,No
INT00339,EMP00969,Operations,CUST94621,2023-08-30,Email,Product B,3.6,7,4.6,Yes,No,Positive,Courtesy,North America,No
INT00340,EMP00736,Support,CUST98211,2024-04-08,Email,Service Package 1,1.2,5,16.5,Yes,No,Neutral,Follow-Up,APAC,No
INT00341,EMP00202,Customer Success,CUST38800,2023-07-03,In-Person,Service Package 1,3.7,4,19.8,Yes,No,Positive,Follow-Up,North America,Yes
INT00342,EMP00144,Sales,CUST17164,2026-07-07,Self-Service Portal,Product B,1.6,1,64.8,Yes,No,Positive,Knowledge,LATAM,Yes
INT00343,EMP00731,Customer Success,CUST85321,2024-07-22,Email,Starter Plan,1.4,0,10.7,Yes,No,Positive,Accuracy,LATAM,No
INT00344,EMP00290,Customer Success,CUST10223,2022-04-24,In-Person,Product C,4.2,9,39.4,No,Yes,Positive,Courtesy,APAC,No
INT00345,EMP00598,Customer Success,CUST45910,2026-05-24,Email,Enterprise Plan,4.5,0,39.1,No,No,Neutral,Courtesy,North America,No
INT00346,EMP00428,Sales,CUST59548,2022-11-15,Email,Product B,4.1,9,70.3,No,No,Neutral,Follow-Up,APAC,No
INT00347,EMP01163,Support,CUST66484,2024-01-07,Self-Service Portal,Product B,1.1,4,37.7,Yes,Yes,Neutral,Accuracy,EMEA,No
INT00348,EMP00949,Customer Success,CUST63575,2023-01-14,Self-Service Portal,Starter Plan,1.2,7,64.8,Yes,No,Negative,Accuracy,APAC,Yes
INT00349,EMP00431,Sales,CUST15215,2025-05-17,Self-Service Portal,Starter Plan,2.6,2,32.6,Yes,No,Positive,Knowledge,North America,Yes
INT00350,EMP00278,Customer Success,CUST11638,2025-01-31,Chat,Product A,2.9,8,36.9,Yes,No,Neutral,Accuracy,APAC,No
INT00351,EMP00658,Sales,CUST18298,2024-10-10,Self-Service Portal,Product C,3.0,8,59.2,No,No,Neutral,Speed,APAC,Yes
INT00352,EMP01107,Operations,CUST72832,2025-11-21,In-Person,Service Package 1,2.8,0,48.7,No,No,Neutral,Follow-Up,LATAM,No
INT00353,EMP00290,Customer Success,CUST36594,2024-04-17,In-Person,Product A,3.8,9,66.6,Yes,No,Negative,Courtesy,North America,Yes
INT00354,EMP00382,Sales,CUST54110,2024-09-16,Self-Service Portal,Product B,4.8,3,46.1,Yes,No,Positive,Follow-Up,EMEA,No
INT00355,EMP00100,Operations,CUST29889,2024-02-10,Email,Enterprise Plan,2.5,3,28.6,Yes,Yes,Neutral,Follow-Up,LATAM,No
INT00356,EMP00902,Support,CUST54401,2025-03-13,Self-Service Portal,Product C,1.5,8,16.5,Yes,Yes,Negative,Accuracy,EMEA,Yes
INT00357,EMP00899,Operations,CUST47372,2023-08-22,Self-Service Portal,Product A,2.9,5,68.5,Yes,No,Neutral,Accuracy,North America,No
INT00358,EMP00374,Support,CUST52144,2022-10-11,Chat,Product A,4.6,3,3.8,No,No,Negative,Knowledge,LATAM,Yes
INT00359,EMP00358,Operations,CUST77942,2024-08-28,Phone,Product B,4.8,3,9.7,Yes,No,Negative,Accuracy,LATAM,Yes
INT00360,EMP00082,Sales,CUST91787,2022-09-15,Self-Service Portal,Product C,3.1,6,33.6,Yes,No,Negative,Knowledge,North America,No
INT00361,EMP01032,Sales,CUST41630,2024-03-14,Email,Starter Plan,3.2,10,8.3,No,No,Positive,Knowledge,North America,No
INT00362,EMP00602,Operations,CUST18533,2024-12-30,Self-Service Portal,Enterprise Plan,1.1,10,28.1,Yes,Yes,Positive,Speed,North America,No
INT00363,EMP00335,Operations,CUST68726,2023-02-15,Phone,Service Package 1,2.0,8,52.4,Yes,No,Neutral,Knowledge,North America,Yes
INT00364,EMP00934,Customer Success,CUST32517,2024-07-13,In-Person,Enterprise Plan,2.0,1,34.0,Yes,No,Negative,Follow-Up,EMEA,Yes
INT00365,EMP00134,Operations,CUST29003,2024-09-15,Phone,Product C,3.5,4,68.8,Yes,No,Neutral,Accuracy,EMEA,Yes
INT00366,EMP00423,Sales,CUST24401,2024-04-02,In-Person,Product B,3.3,0,17.0,Yes,No,Negative,Knowledge,North America,No
INT00367,EMP01198,Support,CUST25610,2026-01-25,Self-Service Portal,Product C,4.9,3,3.9,Yes,No,Neutral,Accuracy,North America,No
INT00368,EMP00017,Sales,CUST55968,2025-06-11,Email,Starter Plan,1.1,5,65.4,Yes,No,Negative,Accuracy,EMEA,No
INT00369,EMP00496,Customer Success,CUST36971,2022-04-21,In-Person,Enterprise Plan,4.4,3,45.1,Yes,No,Neutral,Accuracy,APAC,No
INT00370,EMP00825,Customer Success,CUST29202,2025-07-15,Chat,Starter Plan,4.2,9,63.2,Yes,No,Positive,Accuracy,North America,No
INT00371,EMP00864,Customer Success,CUST36106,2022-04-16,Self-Service Portal,Starter Plan,3.4,2,48.9,Yes,No,Positive,Speed,North America,No
INT00372,EMP00045,Sales,CUST22353,2023-12-18,Email,Product A,5.0,0,58.2,Yes,No,Neutral,Knowledge,North America,No
INT00373,EMP01002,Customer Success,CUST32115,2025-11-16,Self-Service Portal,Enterprise Plan,2.0,2,15.9,Yes,No,Positive,Accuracy,EMEA,No
INT00374,EMP00175,Operations,CUST99180,2024-10-19,Self-Service Portal,Product A,4.7,2,57.6,Yes,No,Neutral,Knowledge,APAC,No
INT00375,EMP00885,Support,CUST67406,2022-02-14,In-Person,Service Package 1,1.6,4,63.5,No,No,Neutral,Speed,EMEA,Yes
INT00376,EMP00582,Sales,CUST20802,2022-02-16,In-Person,Starter Plan,1.5,4,63.1,Yes,No,Neutral,Courtesy,APAC,No
INT00377,EMP00382,Customer Success,CUST13252,2025-10-30,Self-Service Portal,Product C,4.0,2,56.7,Yes,No,Positive,Knowledge,North America,No
INT00378,EMP00630,Operations,CUST53597,2023-05-22,In-Person,Product A,3.5,3,53.7,No,No,Positive,Accuracy,EMEA,No
INT00379,EMP00500,Operations,CUST67808,2024-06-19,Phone,Enterprise Plan,3.2,5,14.7,Yes,No,Neutral,Speed,LATAM,Yes
INT00380,EMP00250,Sales,CUST51523,2024-10-22,Self-Service Portal,Product A,3.7,1,26.9,Yes,No,Neutral,Follow-Up,EMEA,Yes
INT00381,EMP01035,Operations,CUST26149,2023-02-22,Phone,Product A,2.6,8,37.7,Yes,No,Positive,Speed,EMEA,Yes
INT00382,EMP00268,Operations,CUST26069,2022-04-13,Self-Service Portal,Starter Plan,3.8,0,30.7,Yes,Yes,Negative,Accuracy,LATAM,No
