Skill_ID,Skill_Name,Skill_Category,Skill_Subcategory,Proficiency_Level_Required,Proficiency_Level_Average_Workforce,Demand_Trend,Criticality_Score,Supply_Gap_Score,Primary_Job_Families,Preferred_Learning_Method,Avg_Time_To_Proficiency_Months,Certification_Available,Certification_Name,Adjacent_Skills,Taxonomy_Version,Last_Updated,Owned_By_Function,Active
SKL-1013,React,Technical,Emerging,Proficient,Developing,Increasing,6.07,1.45,Operations; Product; Data Science; Engineering,On-the-Job,10,Yes,Azure Data Engineer,Consumer Packaged Goods; SaaS GTM; ESG Reporting,v2.4,2026-06-26,People Analytics,No
SKL-1047,People Analytics,Functional,Foundational,Advanced,Expert,Stable,4.1,-4.75,Marketing,Mentoring,4,Yes,PMP,Talent Development; Stakeholder Management; P&L Ownership,v2.4,2026-04-27,People Analytics,No
SKL-1044,Talent Development,Leadership,Foundational,Foundational,Advanced,Emerging,3.87,-2.0,Engineering,External Course,12,Yes,PMP,Quantitative Research; Consumer Packaged Goods; dbt,v2.4,2026-05-22,People Analytics,Yes
SKL-1071,SaaS GTM,Domain,Foundational,Advanced,Developing,Emerging,6.67,-3.14,Product; Engineering; Finance; Sales,Certification,15,No,AWS Certified,Forecasting; A/B Testing; Strategic Planning,v2.4,2026-06-30,L&D,Yes
SKL-1068,FinTech,Domain,Emerging,Proficient,Proficient,Stable,5.12,-2.38,Customer Experience; Operations; Product; Marketing,Mentoring,20,Yes,CFA,Talent Acquisition; Negotiation; dbt,v2.4,2026-06-22,HRBP,Yes
SKL-1017,Azure,Technical,Specialized,Foundational,Developing,Decreasing,2.05,-1.27,Customer Experience; Product,Mentoring,21,Yes,None,Finance Business Partnering; Airflow; Written Communication,v2.4,2026-06-12,People Analytics,Yes
SKL-1062,Written Communication,Interpersonal,Specialized,Developing,Developing,Decreasing,8.58,1.19,Engineering; Sales; People & HR,Formal Training,14,No,None,Written Communication; Sales Operations; Collaboration,v2.4,2026-05-06,People Analytics,Yes
SKL-1072,Digital Transformation,Domain,Core,Developing,Proficient,Increasing,3.47,0.38,Sales; Legal & Compliance,Certification,18,Yes,Google Cloud Prof.,Financial Modeling; E-Commerce; Compensation & Benefits,v2.4,2026-05-19,L&D,No
SKL-1069,E-Commerce,Domain,Emerging,Advanced,Foundational,Stable,3.68,4.99,Marketing; Operations; Data Science; Finance,External Course,5,Yes,PHR,Talent Development; Finance Business Partnering; Snowflake,v2.4,2026-06-07,People Analytics,Yes
SKL-1026,A/B Testing,Analytical,Core,Expert,Proficient,Decreasing,6.37,-3.32,Marketing; Legal & Compliance; Data Science,Formal Training,15,Yes,CPA,R; Quantitative Research; AWS,v2.4,2026-03-24,People Analytics,No
SKL-1062,Written Communication,Interpersonal,Emerging,Expert,Proficient,Emerging,4.38,-4.24,Product,Certification,10,No,Databricks Certified,Written Communication; Coaching & Mentoring; ESG Reporting,v2.4,2026-01-01,L&D,No
SKL-1045,Talent Acquisition,Functional,Core,Expert,Advanced,Stable,9.71,3.25,Marketing; Operations; Legal & Compliance; People & HR,Certification,20,Yes,Databricks Certified,P&L Ownership; DevOps; API Development,v2.4,2026-01-26,Talent Management,Yes
SKL-1015,Scala,Technical,Emerging,Advanced,Advanced,Increasing,9.93,-0.72,Marketing; People & HR,External Course,10,Yes,CFA,Predictive Analytics; Spark; People Analytics,v2.4,2026-06-20,People Analytics,Yes
SKL-1050,Supply Chain,Functional,Specialized,Developing,Advanced,Increasing,7.33,-4.99,Data Science; People & HR; Finance; Marketing,Stretch Assignment,16,Yes,AWS Certified,P&L Ownership; Scala; Finance Business Partnering,v2.4,2026-06-27,People Analytics,No
SKL-1009,Power BI,Technical,Emerging,Advanced,Foundational,Increasing,1.93,-1.32,People & HR; Product; Legal & Compliance,Stretch Assignment,23,Yes,Google Cloud Prof.,Healthcare Analytics; Digital Transformation; SQL,v2.4,2026-06-06,People Analytics,No
SKL-1044,Talent Development,Leadership,Emerging,Developing,Advanced,Emerging,8.74,-4.13,People & HR,External Course,5,No,CFA,Finance Business Partnering; Decision Making; Azure,v2.4,2026-03-05,HRBP,Yes
SKL-1031,Quantitative Research,Analytical,Specialized,Foundational,Proficient,Stable,5.66,0.1,Marketing; Engineering; Finance; Sales,Mentoring,5,Yes,Databricks Certified,Power BI; Healthcare Analytics; SQL,v2.4,2026-04-03,HRBP,Yes
SKL-1049,HRBP,Functional,Foundational,Proficient,Expert,Stable,7.86,4.54,Engineering,Certification,4,Yes,CPA,Forecasting; API Development; Cybersecurity,v2.4,2026-04-12,HRBP,No
SKL-1054,Finance Business Partnering,Functional,Foundational,Foundational,Expert,Stable,3.5,-1.9,People & HR; Customer Experience,Self-Study,14,Yes,CPA,Communication; Root Cause Analysis; Cybersecurity,v2.4,2026-03-04,L&D,No
SKL-1014,Java,Technical,Foundational,Expert,Expert,Increasing,3.78,2.42,Data Science; Engineering,Stretch Assignment,6,Yes,PMP,Facilitation; Talent Development; Consumer Packaged Goods,v2.4,2026-05-13,HRBP,Yes
SKL-1047,People Analytics,Functional,Emerging,Proficient,Foundational,Increasing,4.02,-0.71,Marketing,Stretch Assignment,20,Yes,Databricks Certified,Negotiation; Retail Banking; Compensation & Benefits,v2.4,2026-01-15,Talent Management,Yes
SKL-1047,People Analytics,Functional,Emerging,Proficient,Foundational,Increasing,3.06,0.09,Engineering,Formal Training,3,No,CFA,HRBP; GCP; dbt,v2.4,2026-01-10,Talent Management,Yes
SKL-1041,Coaching & Mentoring,Leadership,Emerging,Advanced,Proficient,Decreasing,8.43,0.72,Customer Experience,Stretch Assignment,3,Yes,PHR,Consumer Packaged Goods; API Development; Marketing Analytics,v2.4,2026-01-18,Talent Management,Yes
SKL-1039,Stakeholder Management,Leadership,Specialized,Foundational,Expert,Emerging,1.07,-2.99,Legal & Compliance; Finance; Sales,Self-Study,20,No,PHR,E-Commerce; Quantitative Research; GCP,v2.4,2026-01-02,Talent Management,Yes
SKL-1029,Business Intelligence,Analytical,Specialized,Foundational,Proficient,Increasing,7.83,-1.24,Data Science; Finance; Customer Experience,Mentoring,17,Yes,PMP,Strategic Planning; Kubernetes; API Development,v2.4,2026-03-01,Talent Management,Yes
SKL-1058,Negotiation,Interpersonal,Core,Expert,Foundational,Stable,6.73,-1.06,Product,Stretch Assignment,6,Yes,CPA,Experimentation Design; Decision Making; Supply Chain,v2.4,2026-06-29,HRBP,Yes
SKL-1057,Conflict Resolution,Interpersonal,Specialized,Developing,Foundational,Stable,2.23,2.7,People & HR,On-the-Job,7,No,Databricks Certified,Decision Making; Customer Success; Scala,v2.4,2026-05-18,HRBP,Yes
SKL-1057,Conflict Resolution,Interpersonal,Specialized,Advanced,Proficient,Increasing,1.81,3.08,Legal & Compliance; Engineering; Finance,External Course,12,Yes,Google Cloud Prof.,Quantitative Research; Talent Acquisition; Supply Chain,v2.4,2026-05-12,L&D,Yes
SKL-1033,Experimentation Design,Analytical,Emerging,Foundational,Advanced,Emerging,6.0,0.5,Sales,On-the-Job,6,Yes,AWS Certified,Cybersecurity; Data Visualization; R,v2.4,2026-02-20,Talent Management,Yes
SKL-1010,Spark,Technical,Specialized,Foundational,Foundational,Increasing,2.78,1.46,Data Science; Operations,On-the-Job,3,No,AWS Certified,Snowflake; Regulatory Compliance; Communication,v2.4,2026-04-12,Talent Management,Yes
SKL-1048,Learning & Development,Functional,Foundational,Developing,Proficient,Stable,9.17,-2.25,People & HR; Engineering; Finance; Operations,Self-Study,17,No,Azure Data Engineer,Presentation Skills; Cybersecurity; Kubernetes,v2.4,2026-03-13,Talent Management,Yes
SKL-1053,Sales Operations,Functional,Emerging,Expert,Developing,Increasing,9.9,2.82,Sales; Customer Experience; Legal & Compliance,Self-Study,20,No,None,Financial Modeling; Airflow; Data Engineering,v2.4,2026-03-23,People Analytics,Yes
SKL-1035,Strategic Planning,Leadership,Core,Advanced,Expert,Decreasing,7.9,5.0,Data Science; Finance,Stretch Assignment,9,No,Azure Data Engineer,Cybersecurity; Data Visualization; Regulatory Compliance,v2.4,2026-04-10,HRBP,Yes
SKL-1022,dbt,Technical,Emerging,Expert,Proficient,Decreasing,9.23,-4.72,Legal & Compliance; People & HR; Finance,External Course,17,No,PMP,Written Communication; Cloud Architecture; Kubernetes,v2.4,2026-01-15,People Analytics,Yes
SKL-1002,Machine Learning,Technical,Foundational,Foundational,Proficient,Stable,8.26,-1.59,Operations; Engineering,On-the-Job,6,Yes,Google Cloud Prof.,Healthcare Analytics; Compensation & Benefits; Power BI,v2.4,2026-04-06,Talent Management,Yes
SKL-1043,P&L Ownership,Leadership,Specialized,Proficient,Developing,Stable,7.59,-0.63,Operations; People & HR; Legal & Compliance; Data Science,Stretch Assignment,20,Yes,None,Stakeholder Management; Change Management; R,v2.4,2026-02-15,L&D,No
SKL-1072,Digital Transformation,Domain,Core,Developing,Expert,Decreasing,9.29,4.68,Legal & Compliance; Data Science,Mentoring,6,No,Google Cloud Prof.,Root Cause Analysis; Talent Development; Decision Making,v2.4,2026-02-12,L&D,Yes
SKL-1057,Conflict Resolution,Interpersonal,Core,Proficient,Developing,Stable,7.24,-1.5,Engineering,On-the-Job,14,No,None,Snowflake; Customer Success; Facilitation,v2.4,2026-04-07,HRBP,No
SKL-1012,TensorFlow,Technical,Foundational,Expert,Developing,Stable,5.06,2.99,Marketing,On-the-Job,12,No,Google Cloud Prof.,Power BI; P&L Ownership; Snowflake,v2.4,2026-04-07,People Analytics,Yes
SKL-1070,Manufacturing Ops,Domain,Core,Proficient,Expert,Emerging,7.34,-0.69,Legal & Compliance; Product,Formal Training,3,Yes,CFA,A/B Testing; NLP; Customer Success,v2.4,2026-06-28,HRBP,Yes
SKL-1038,Organizational Design,Leadership,Emerging,Foundational,Foundational,Emerging,6.15,3.4,Engineering; Operations,On-the-Job,15,Yes,CPA,Presentation Skills; Statistical Modeling; TensorFlow,v2.4,2026-01-07,People Analytics,Yes
SKL-1037,Change Management,Leadership,Core,Advanced,Foundational,Decreasing,8.06,-0.29,Data Science; Customer Experience; Product,Formal Training,13,No,CFA,Airflow; Conflict Resolution; API Development,v2.4,2026-03-09,Talent Management,No
SKL-1033,Experimentation Design,Analytical,Emerging,Proficient,Expert,Increasing,2.36,1.96,Data Science,Stretch Assignment,13,No,PHR,Manufacturing Ops; Cybersecurity; HRBP,v2.4,2026-05-14,Talent Management,No
SKL-1073,Regulatory Compliance,Domain,Emerging,Advanced,Proficient,Increasing,4.55,3.54,Customer Experience,Certification,18,Yes,Google Cloud Prof.,Conflict Resolution; dbt; Snowflake,v2.4,2026-02-24,People Analytics,Yes
SKL-1005,API Development,Technical,Foundational,Foundational,Advanced,Stable,9.98,1.27,Operations; Data Science; Customer Experience,Mentoring,19,No,Azure Data Engineer,Coaching & Mentoring; Strategic Planning; Consumer Packaged Goods,v2.4,2026-04-28,L&D,No
SKL-1014,Java,Technical,Foundational,Developing,Developing,Increasing,9.32,0.63,Marketing,External Course,19,No,None,Experimentation Design; HRBP; Written Communication,v2.4,2026-05-27,Talent Management,Yes
SKL-1022,dbt,Technical,Specialized,Advanced,Developing,Emerging,1.35,3.9,Finance; Engineering; Sales,Self-Study,13,Yes,CFA,Organizational Design; Stakeholder Management; Strategic Planning,v2.4,2026-05-06,L&D,Yes
SKL-1017,Azure,Technical,Specialized,Advanced,Proficient,Decreasing,7.56,1.05,Finance,Mentoring,8,No,Databricks Certified,Consumer Packaged Goods; People Analytics; Cybersecurity,v2.4,2026-05-12,People Analytics,Yes
SKL-1039,Stakeholder Management,Leadership,Foundational,Developing,Expert,Increasing,2.56,3.75,Engineering; Finance,On-the-Job,16,Yes,CFA,Statistical Modeling; Strategic Planning; People Analytics,v2.4,2026-04-29,Talent Management,Yes
SKL-1003,Data Engineering,Technical,Emerging,Proficient,Advanced,Emerging,2.6,3.7,Operations; People & HR; Marketing,Stretch Assignment,24,Yes,CPA,Data Engineering; HRBP; DevOps,v2.4,2026-02-11,People Analytics,Yes
SKL-1028,Data Visualization,Analytical,Emerging,Proficient,Advanced,Increasing,8.78,4.67,Sales,Formal Training,22,Yes,AWS Certified,Data Visualization; Predictive Analytics; Stakeholder Management,v2.4,2026-06-14,HRBP,No
SKL-1048,Learning & Development,Functional,Specialized,Advanced,Proficient,Stable,5.2,1.77,Legal & Compliance; Data Science; Engineering; Marketing,Stretch Assignment,13,No,CPA,React; Presentation Skills; Tableau,v2.4,2026-03-28,HRBP,Yes
SKL-1035,Strategic Planning,Leadership,Specialized,Proficient,Developing,Stable,5.66,-2.6,Legal & Compliance,Mentoring,23,No,PMP,Data Engineering; Facilitation; Change Management,v2.4,2026-03-08,Talent Management,No
SKL-1049,HRBP,Functional,Core,Expert,Expert,Stable,4.09,2.13,Operations; Customer Experience; Marketing; Product,Formal Training,23,Yes,CPA,TensorFlow; Active Listening; R,v2.4,2026-03-08,People Analytics,Yes
SKL-1011,Kubernetes,Technical,Emerging,Proficient,Developing,Decreasing,4.78,3.87,Marketing; Legal & Compliance; Sales,External Course,5,No,AWS Certified,ESG Reporting; Power BI; Active Listening,v2.4,2026-02-19,L&D,No
SKL-1067,Healthcare Analytics,Domain,Specialized,Advanced,Foundational,Stable,2.24,-3.0,Legal & Compliance; Sales; People & HR; Customer Experience,External Course,24,Yes,Google Cloud Prof.,Written Communication; Board Communication; dbt,v2.4,2026-03-22,L&D,Yes
SKL-1057,Conflict Resolution,Interpersonal,Specialized,Developing,Developing,Stable,5.41,2.64,People & HR,Certification,15,No,None,Finance Business Partnering; Presentation Skills; HRBP,v2.4,2026-01-02,L&D,Yes
SKL-1047,People Analytics,Functional,Core,Proficient,Expert,Stable,1.16,-4.96,Finance; Operations,Self-Study,6,Yes,None,Influence Without Authority; Stakeholder Management; Snowflake,v2.4,2026-01-17,L&D,Yes
SKL-1037,Change Management,Leadership,Foundational,Expert,Expert,Decreasing,4.9,1.87,Operations; Sales,Self-Study,8,Yes,None,Machine Learning; Business Intelligence; Data Visualization,v2.4,2026-02-03,People Analytics,Yes
SKL-1064,Influence Without Authority,Interpersonal,Emerging,Foundational,Proficient,Increasing,4.38,1.4,Legal & Compliance,On-the-Job,23,Yes,AWS Certified,DevOps; Java; Sales Operations,v2.4,2026-04-24,Talent Management,Yes
SKL-1070,Manufacturing Ops,Domain,Specialized,Advanced,Developing,Stable,7.26,1.3,Product; Data Science; Marketing,Certification,21,Yes,None,React; Retail Banking; Scala,v2.4,2026-03-14,L&D,Yes
SKL-1063,Facilitation,Interpersonal,Emerging,Expert,Developing,Decreasing,8.48,4.73,Product; Marketing; People & HR,On-the-Job,19,No,PHR,Presentation Skills; Board Communication; Root Cause Analysis,v2.4,2026-01-01,L&D,Yes
SKL-1014,Java,Technical,Foundational,Developing,Foundational,Increasing,7.51,-3.99,Finance; Sales; Marketing,Self-Study,16,Yes,Google Cloud Prof.,dbt; API Development; Change Management,v2.4,2026-04-03,HRBP,No
SKL-1014,Java,Technical,Core,Foundational,Foundational,Stable,6.97,-3.29,Sales; Marketing; Data Science,Self-Study,12,Yes,Google Cloud Prof.,Marketing Analytics; Negotiation; Financial Modeling,v2.4,2026-04-09,Talent Management,No
SKL-1021,Snowflake,Technical,Core,Developing,Foundational,Stable,1.93,4.11,Legal & Compliance; Sales; People & HR; Marketing,Mentoring,13,Yes,PMP,Presentation Skills; Written Communication; Java,v2.4,2026-04-16,Talent Management,Yes
SKL-1008,Tableau,Technical,Specialized,Proficient,Foundational,Stable,9.8,1.7,Customer Experience; Legal & Compliance; Data Science,Mentoring,23,Yes,Databricks Certified,Talent Development; HRBP; GCP,v2.4,2026-05-23,L&D,Yes
SKL-1020,Databricks,Technical,Foundational,Advanced,Developing,Increasing,7.76,-1.79,Marketing; Engineering; Finance,Certification,22,No,None,Root Cause Analysis; Spark; Negotiation,v2.4,2026-04-24,Talent Management,Yes
SKL-1063,Facilitation,Interpersonal,Foundational,Proficient,Foundational,Emerging,7.71,-4.82,Product; Engineering; Customer Experience; Legal & Compliance,On-the-Job,21,No,Azure Data Engineer,SaaS GTM; A/B Testing; Negotiation,v2.4,2026-03-29,HRBP,Yes
SKL-1028,Data Visualization,Analytical,Foundational,Proficient,Expert,Emerging,7.45,-1.37,Data Science; Legal & Compliance; Finance; Engineering,Self-Study,13,No,Azure Data Engineer,Consumer Packaged Goods; People Analytics; React,v2.4,2026-01-12,People Analytics,No
SKL-1017,Azure,Technical,Foundational,Foundational,Proficient,Stable,2.69,4.3,Finance; Sales; Legal & Compliance; Operations,Self-Study,5,No,AWS Certified,Scala; Conflict Resolution; Negotiation,v2.4,2026-06-18,People Analytics,No
SKL-1000,Python,Technical,Core,Expert,Advanced,Emerging,9.32,2.81,Legal & Compliance; People & HR,Stretch Assignment,6,Yes,None,Coaching & Mentoring; Influence Without Authority; HRBP,v2.4,2026-04-18,People Analytics,Yes
SKL-1050,Supply Chain,Functional,Specialized,Proficient,Advanced,Stable,2.24,1.03,Customer Experience; Operations; Finance,Formal Training,8,No,CFA,R; dbt; Influence Without Authority,v2.4,2026-05-19,HRBP,Yes
SKL-1045,Talent Acquisition,Functional,Foundational,Expert,Expert,Emerging,7.07,3.94,Product; Engineering; Data Science,On-the-Job,14,Yes,AWS Certified,Cybersecurity; Statistical Modeling; Financial Modeling,v2.4,2026-02-11,HRBP,Yes
SKL-1018,AWS,Technical,Core,Proficient,Developing,Increasing,4.23,-0.47,Customer Experience; Product,Formal Training,18,No,AWS Certified,Learning & Development; HRBP; Sales Operations,v2.4,2026-06-25,HRBP,Yes
SKL-1001,SQL,Technical,Specialized,Developing,Expert,Emerging,8.47,4.11,Legal & Compliance; Customer Experience; Finance,External Course,8,No,Databricks Certified,dbt; Power BI; Airflow,v2.4,2026-02-14,L&D,No
SKL-1005,API Development,Technical,Foundational,Proficient,Expert,Decreasing,2.17,0.84,Engineering; Operations; Sales,Stretch Assignment,6,Yes,PMP,Coaching & Mentoring; DevOps; Organizational Design,v2.4,2026-05-06,HRBP,Yes
SKL-1040,Decision Making,Leadership,Emerging,Developing,Expert,Increasing,8.08,-3.41,Data Science; Operations; Finance; Legal & Compliance,Stretch Assignment,12,No,CFA,Change Management; Forecasting; Healthcare Analytics,v2.4,2026-05-02,L&D,Yes
SKL-1044,Talent Development,Leadership,Foundational,Developing,Expert,Stable,9.63,1.83,Product; Data Science; Legal & Compliance,Self-Study,19,No,AWS Certified,Consumer Packaged Goods; People Analytics; Retail Banking,v2.4,2026-05-11,Talent Management,No
SKL-1005,API Development,Technical,Specialized,Developing,Proficient,Increasing,9.53,-3.33,Data Science,Formal Training,23,Yes,None,React; A/B Testing; FinTech,v2.4,2026-06-29,Talent Management,Yes
SKL-1019,GCP,Technical,Core,Advanced,Proficient,Increasing,1.79,-4.46,Customer Experience; Data Science; Finance,Self-Study,15,No,Databricks Certified,Marketing Analytics; Communication; Decision Making,v2.4,2026-01-05,Talent Management,Yes
SKL-1068,FinTech,Domain,Core,Expert,Foundational,Increasing,7.31,-4.27,Marketing,External Course,23,No,Google Cloud Prof.,Executive Presence; Collaboration; Learning & Development,v2.4,2026-04-12,L&D,No
SKL-1020,Databricks,Technical,Emerging,Developing,Advanced,Decreasing,9.64,-3.56,Engineering; Customer Experience; People & HR,On-the-Job,3,Yes,None,FinTech; Manufacturing Ops; Spark,v2.4,2026-03-20,People Analytics,Yes
SKL-1027,Forecasting,Analytical,Foundational,Expert,Developing,Stable,2.66,1.17,Finance; Data Science; People & HR,Stretch Assignment,20,Yes,Azure Data Engineer,Empathy; Manufacturing Ops; Power BI,v2.4,2026-03-16,L&D,Yes
SKL-1012,TensorFlow,Technical,Emerging,Expert,Advanced,Decreasing,4.21,1.71,Data Science; Marketing,Certification,4,Yes,CFA,Written Communication; Conflict Resolution; Board Communication,v2.4,2026-06-07,HRBP,Yes
SKL-1072,Digital Transformation,Domain,Specialized,Proficient,Advanced,Stable,1.04,-2.54,Product; Marketing,External Course,13,Yes,CFA,Presentation Skills; Empathy; Conflict Resolution,v2.4,2026-04-02,HRBP,No
SKL-1070,Manufacturing Ops,Domain,Core,Developing,Expert,Increasing,8.58,3.59,Customer Experience; Finance,Self-Study,22,Yes,Google Cloud Prof.,Machine Learning; Influence Without Authority; Data Engineering,v2.4,2026-05-29,Talent Management,Yes
SKL-1004,Cloud Architecture,Technical,Specialized,Expert,Expert,Emerging,6.89,-3.51,Finance; Marketing; People & HR; Legal & Compliance,Certification,18,Yes,None,Compensation & Benefits; Influence Without Authority; SQL,v2.4,2026-06-19,People Analytics,Yes
SKL-1065,Retail Banking,Domain,Emerging,Advanced,Developing,Stable,6.1,0.66,Sales; Operations,On-the-Job,9,No,PHR,Tableau; Experimentation Design; People Analytics,v2.4,2026-03-01,L&D,Yes
SKL-1066,Consumer Packaged Goods,Domain,Specialized,Advanced,Advanced,Emerging,8.93,-4.6,Data Science; Customer Experience; Marketing,External Course,10,Yes,None,Learning & Development; Compensation & Benefits; Power BI,v2.4,2026-05-13,HRBP,No
SKL-1028,Data Visualization,Analytical,Foundational,Proficient,Proficient,Emerging,8.13,3.87,Customer Experience,Formal Training,16,Yes,PHR,Power BI; Retail Banking; Strategic Planning,v2.4,2026-02-24,People Analytics,Yes
SKL-1020,Databricks,Technical,Specialized,Expert,Foundational,Stable,4.73,-1.7,Sales,Stretch Assignment,17,No,PHR,Databricks; Customer Success; Machine Learning,v2.4,2026-03-04,L&D,Yes
SKL-1073,Regulatory Compliance,Domain,Emerging,Developing,Expert,Increasing,9.02,-3.53,Marketing; People & HR,Certification,14,Yes,CPA,Spark; Forecasting; Conflict Resolution,v2.4,2026-06-05,Talent Management,No
SKL-1021,Snowflake,Technical,Emerging,Advanced,Expert,Stable,8.15,3.2,Legal & Compliance; Customer Experience,Self-Study,7,No,Databricks Certified,Tableau; Business Intelligence; Learning & Development,v2.4,2026-04-09,People Analytics,Yes
SKL-1002,Machine Learning,Technical,Emerging,Expert,Expert,Emerging,8.44,1.06,Sales; Engineering,External Course,19,Yes,Google Cloud Prof.,Presentation Skills; R; E-Commerce,v2.4,2026-01-01,Talent Management,No
SKL-1047,People Analytics,Functional,Core,Expert,Advanced,Stable,9.45,-0.18,Operations; Data Science; Product; Customer Experience,Self-Study,17,Yes,Google Cloud Prof.,Executive Presence; E-Commerce; Customer Success,v2.4,2026-03-07,People Analytics,Yes
SKL-1000,Python,Technical,Core,Expert,Foundational,Emerging,6.89,1.88,Product; Operations; Data Science,Formal Training,15,No,CPA,FinTech; Finance Business Partnering; Digital Transformation,v2.4,2026-04-04,HRBP,No
SKL-1026,A/B Testing,Analytical,Foundational,Expert,Expert,Emerging,2.61,0.59,Marketing; Legal & Compliance; Operations; Product,Stretch Assignment,14,Yes,Google Cloud Prof.,Business Intelligence; Conflict Resolution; Databricks,v2.4,2026-01-26,People Analytics,No
SKL-1043,P&L Ownership,Leadership,Core,Developing,Advanced,Increasing,8.24,3.23,Legal & Compliance; Product; Data Science; Engineering,Self-Study,9,No,Google Cloud Prof.,Cloud Architecture; HRBP; Marketing Analytics,v2.4,2026-06-07,HRBP,Yes
SKL-1022,dbt,Technical,Foundational,Advanced,Foundational,Stable,8.66,4.31,Finance; Engineering; Legal & Compliance,Certification,7,Yes,CFA,Root Cause Analysis; Python; Databricks,v2.4,2026-01-23,HRBP,No
SKL-1045,Talent Acquisition,Functional,Foundational,Advanced,Expert,Stable,5.66,2.37,Data Science,Certification,11,No,CFA,Strategic Planning; Data Visualization; NLP,v2.4,2026-04-27,Talent Management,Yes
SKL-1033,Experimentation Design,Analytical,Emerging,Advanced,Expert,Increasing,6.03,0.03,Data Science; Customer Experience; Marketing,Certification,20,No,Databricks Certified,Learning & Development; Digital Transformation; Presentation Skills,v2.4,2026-03-04,HRBP,No
SKL-1058,Negotiation,Interpersonal,Core,Advanced,Foundational,Decreasing,1.61,1.34,Finance; Operations,Mentoring,13,Yes,CPA,Quantitative Research; Executive Presence; Kubernetes,v2.4,2026-04-13,HRBP,Yes
SKL-1070,Manufacturing Ops,Domain,Emerging,Advanced,Proficient,Decreasing,2.97,0.74,Finance; Sales,Stretch Assignment,8,Yes,PHR,Experimentation Design; A/B Testing; Business Intelligence,v2.4,2026-02-21,People Analytics,Yes
SKL-1019,GCP,Technical,Core,Foundational,Foundational,Emerging,6.52,2.64,Sales,Self-Study,21,No,Databricks Certified,Regulatory Compliance; Strategic Planning; Written Communication,v2.4,2026-02-16,HRBP,No
SKL-1028,Data Visualization,Analytical,Emerging,Foundational,Expert,Emerging,5.3,0.41,Product; People & HR; Sales,On-the-Job,24,No,CFA,SQL; A/B Testing; Learning & Development,v2.4,2026-05-29,L&D,Yes
SKL-1046,Compensation & Benefits,Functional,Specialized,Developing,Expert,Decreasing,3.13,-0.29,Operations; People & HR; Sales,Mentoring,8,No,CFA,Compensation & Benefits; Marketing Analytics; Strategic Planning,v2.4,2026-04-26,People Analytics,Yes
SKL-1073,Regulatory Compliance,Domain,Emerging,Foundational,Proficient,Stable,6.0,3.56,People & HR; Legal & Compliance,Mentoring,2,Yes,None,Facilitation; Azure; Consumer Packaged Goods,v2.4,2026-05-17,HRBP,No
SKL-1038,Organizational Design,Leadership,Specialized,Expert,Expert,Increasing,4.59,1.91,Finance,External Course,10,No,Google Cloud Prof.,Conflict Resolution; Board Communication; Experimentation Design,v2.4,2026-04-03,HRBP,Yes
SKL-1044,Talent Development,Leadership,Core,Advanced,Foundational,Decreasing,8.81,4.63,Legal & Compliance; Customer Experience,Formal Training,11,No,CFA,Retail Banking; Written Communication; Conflict Resolution,v2.4,2026-01-21,Talent Management,Yes
SKL-1059,Empathy,Interpersonal,Emerging,Developing,Proficient,Emerging,6.68,0.72,Data Science,Formal Training,12,Yes,CFA,Decision Making; Change Management; Financial Modeling,v2.4,2026-06-04,Talent Management,Yes
SKL-1056,Collaboration,Interpersonal,Specialized,Expert,Expert,Emerging,4.73,-3.16,People & HR,Stretch Assignment,9,No,Google Cloud Prof.,A/B Testing; Snowflake; Supply Chain,v2.4,2026-01-27,L&D,Yes
SKL-1060,Active Listening,Interpersonal,Core,Foundational,Advanced,Increasing,1.94,1.18,Product,Self-Study,9,Yes,CPA,Collaboration; R; Healthcare Analytics,v2.4,2026-02-13,L&D,Yes
SKL-1045,Talent Acquisition,Functional,Specialized,Advanced,Advanced,Decreasing,5.94,-3.65,Legal & Compliance; Sales,Stretch Assignment,22,No,Azure Data Engineer,FinTech; Stakeholder Management; Talent Development,v2.4,2026-05-04,People Analytics,Yes
SKL-1056,Collaboration,Interpersonal,Specialized,Proficient,Advanced,Decreasing,2.4,-4.89,Operations; Marketing,Mentoring,19,Yes,Databricks Certified,Presentation Skills; Organizational Design; SQL,v2.4,2026-04-21,HRBP,Yes
SKL-1000,Python,Technical,Specialized,Developing,Advanced,Emerging,4.55,-3.37,Product; Finance; Marketing; Engineering,Mentoring,22,Yes,Azure Data Engineer,Financial Modeling; Executive Presence; FinTech,v2.4,2026-03-10,Talent Management,Yes
SKL-1008,Tableau,Technical,Emerging,Developing,Proficient,Increasing,6.73,1.18,Legal & Compliance; Sales; Finance,Self-Study,2,Yes,AWS Certified,FinTech; Machine Learning; Airflow,v2.4,2026-01-27,HRBP,Yes
SKL-1016,R,Technical,Foundational,Foundational,Developing,Increasing,2.36,-0.06,Product; Marketing; Sales,Self-Study,16,Yes,CFA,Spark; AWS; Cybersecurity,v2.4,2026-03-10,Talent Management,Yes
SKL-1069,E-Commerce,Domain,Foundational,Developing,Developing,Decreasing,8.36,3.28,Finance,Mentoring,16,Yes,AWS Certified,Statistical Modeling; Negotiation; TensorFlow,v2.4,2026-05-14,People Analytics,No
SKL-1049,HRBP,Functional,Specialized,Proficient,Developing,Increasing,7.7,0.5,Marketing,Mentoring,22,No,PHR,Compensation & Benefits; DevOps; Forecasting,v2.4,2026-01-29,People Analytics,No
